sequence_id,segment_id,start_timestamp,end_timestamp,start_event_id,end_event_id,event_count,lstm_malicious_probability,lstm_prediction,lstm_prediction_label,lstm_threshold
248,scored_log,1778300214.840000,1778300214.994000,11178,11227,50,7.6252414e-05,0,benign,0.5
249,scored_log,1778300214.942000,1778300215.004000,11188,11237,50,0.00013721314,0,benign,0.5
250,scored_log,1778300214.957000,1778300215.016000,11198,11247,50,9.335321e-05,0,benign,0.5
251,scored_log,1778300214.966000,1778300215.026000,11208,11257,50,6.351686e-05,0,benign,0.5
252,scored_log,1778300214.987000,1778300215.035000,11218,11267,50,6.920454e-05,0,benign,0.5
253,scored_log,1778300214.995000,1778300215.041000,11228,11277,50,0.00136854,0,benign,0.5
254,scored_log,1778300215.005000,1778300215.044000,11238,11287,50,0.0002804288,0,benign,0.5
255,scored_log,1778300215.017000,1778300215.052000,11248,11297,50,8.2903694e-05,0,benign,0.5
256,scored_log,1778300215.026000,1778300215.142000,11258,11307,50,5.9636717e-05,0,benign,0.5
257,scored_log,1778300215.036000,1778300215.244000,11268,11317,50,0.00010311342,0,benign,0.5
258,scored_log,1778300215.041000,1778300215.244000,11278,11327,50,0.00019677934,0,benign,0.5
259,scored_log,1778300215.046000,1778300215.256000,11288,11337,50,0.0039471164,0,benign,0.5
260,scored_log,1778300215.053000,1778300215.256000,11298,11347,50,0.010942244,0,benign,0.5
261,scored_log,1778300215.142000,1778300215.258000,11308,11357,50,0.010402162,0,benign,0.5
262,scored_log,1778300215.244000,1778300215.262000,11318,11367,50,0.00080183794,0,benign,0.5
263,scored_log,1778300215.245000,1778300215.268000,11328,11377,50,0.00021120945,0,benign,0.5
264,scored_log,1778300215.256000,1778300215.287000,11338,11387,50,7.442127e-05,0,benign,0.5
265,scored_log,1778300215.256000,1778300215.289000,11348,11397,50,0.00016426813,0,benign,0.5
266,scored_log,1778300215.258000,1778300215.299000,11358,11407,50,9.677567e-05,0,benign,0.5
267,scored_log,1778300215.262000,1778300215.311000,11368,11417,50,0.00010015737,0,benign,0.5
268,scored_log,1778300215.268000,1778300215.326000,11378,11427,50,7.598689e-05,0,benign,0.5
269,scored_log,1778300215.288000,1778300215.332000,11388,11437,50,3.7225844e-05,0,benign,0.5
270,scored_log,1778300215.289000,1778300215.345000,11398,11447,50,5.9180264e-05,0,benign,0.5
271,scored_log,1778300215.300000,1778300215.351000,11408,11457,50,0.00017328108,0,benign,0.5
272,scored_log,1778300215.313000,1778300215.356000,11418,11467,50,0.00040041943,0,benign,0.5
273,scored_log,1778300215.327000,1778300215.373000,11428,11477,50,0.0012629288,0,benign,0.5
274,scored_log,1778300215.335000,1778300215.380000,11438,11487,50,0.0036612167,0,benign,0.5
275,scored_log,1778300215.345000,1778300215.380000,11448,11497,50,0.0046828445,0,benign,0.5
276,scored_log,1778300215.351000,1778300215.385000,11458,11507,50,0.012726045,0,benign,0.5
