tp,tn,fp,fn,precision,recall,f1,fpr,tnr,accuracy,threshold,predicted_positive
121,229,432,0,0.21880650994575046,1.0,0.3590504451038576,0.653555219364599,0.3464447806354009,0.4475703324808184,8.936706e-05,553
121,228,433,0,0.2184115523465704,1.0,0.3585185185185185,0.6550680786686838,0.34493192133131617,0.4462915601023018,8.930845e-05,554
121,227,434,0,0.218018018018018,1.0,0.35798816568047337,0.6565809379727685,0.3434190620272315,0.44501278772378516,8.925192e-05,555
121,226,435,0,0.21762589928057555,1.0,0.35745937961595275,0.6580937972768532,0.34190620272314676,0.4437340153452685,8.9239664e-05,556
121,225,436,0,0.21723518850987433,1.0,0.35693215339233036,0.659606656580938,0.340393343419062,0.4424552429667519,8.9230816e-05,557
121,224,437,0,0.2168458781362007,1.0,0.3564064801178203,0.6611195158850227,0.3388804841149773,0.4411764705882353,8.918496e-05,558
121,223,438,0,0.21645796064400716,1.0,0.3558823529411765,0.6626323751891074,0.3373676248108926,0.4398976982097187,8.9152134e-05,559
121,222,439,0,0.21607142857142858,1.0,0.35535976505139505,0.6641452344931922,0.3358547655068079,0.43861892583120204,8.898643e-05,560
121,221,440,0,0.21568627450980393,1.0,0.3548387096774193,0.6656580937972768,0.33434190620272314,0.4373401534526854,8.8855e-05,561
121,220,441,0,0.21530249110320285,1.0,0.35431918008784774,0.6671709531013615,0.3328290468986384,0.4360613810741688,8.8663124e-05,562
121,219,442,0,0.21492007104795738,1.0,0.3538011695906433,0.6686838124054463,0.3313161875945537,0.43478260869565216,8.86507e-05,563
121,218,443,0,0.21453900709219859,1.0,0.3532846715328467,0.670196671709531,0.329803328290469,0.43350383631713557,8.805453e-05,564
121,217,444,0,0.21415929203539824,1.0,0.3527696793002915,0.6717095310136157,0.32829046898638425,0.4322250639386189,8.7828776e-05,565
121,216,445,0,0.2137809187279152,1.0,0.3522561863173217,0.6732223903177005,0.3267776096822995,0.4309462915601023,8.775485e-05,566
121,215,446,0,0.21340388007054673,1.0,0.35174418604651164,0.6747352496217852,0.32526475037821484,0.4296675191815857,8.757403e-05,567
121,214,447,0,0.2130281690140845,1.0,0.35123367198838895,0.6762481089258698,0.3237518910741301,0.42838874680306904,8.732903e-05,568
121,213,448,0,0.2126537785588752,1.0,0.3507246376811594,0.6777609682299546,0.32223903177004537,0.42710997442455245,8.706079e-05,569
121,212,449,0,0.21228070175438596,1.0,0.35021707670043417,0.6792738275340393,0.3207261724659607,0.4258312020460358,8.704958e-05,570
121,211,450,0,0.2119089316987741,1.0,0.34971098265895956,0.680786686838124,0.31921331316187596,0.42455242966751916,8.701597e-05,571
121,210,451,0,0.21153846153846154,1.0,0.34920634920634924,0.6822995461422088,0.3177004538577912,0.42327365728900257,8.692134e-05,572
121,209,452,0,0.2111692844677138,1.0,0.34870317002881845,0.6838124054462935,0.3161875945537065,0.4219948849104859,8.6912805e-05,573
121,208,453,0,0.21080139372822299,1.0,0.34820143884892085,0.6853252647503782,0.3146747352496218,0.42071611253196933,8.6909495e-05,574
121,207,454,0,0.21043478260869566,1.0,0.3477011494252874,0.686838124054463,0.31316187594553707,0.4194373401534527,8.642396e-05,575
121,206,455,0,0.21006944444444445,1.0,0.3472022955523673,0.6883509833585476,0.31164901664145234,0.41815856777493604,8.6408545e-05,576
121,205,456,0,0.2097053726169844,1.0,0.34670487106017195,0.6898638426626323,0.3101361573373676,0.41687979539641945,8.635929e-05,577
121,204,457,0,0.2093425605536332,1.0,0.34620886981402,0.6913767019667171,0.3086232980332829,0.4156010230179028,8.6301414e-05,578
121,203,458,0,0.20898100172711573,1.0,0.34571428571428575,0.6928895612708018,0.3071104387291982,0.4143222506393862,8.4758896e-05,579
121,202,459,0,0.20862068965517241,1.0,0.34522111269614836,0.6944024205748865,0.30559757942511345,0.41304347826086957,8.4725194e-05,580
121,201,460,0,0.2082616179001721,1.0,0.3447293447293447,0.6959152798789713,0.3040847201210287,0.4117647058823529,8.455175e-05,581
121,200,461,0,0.20790378006872853,1.0,0.34423897581792323,0.697428139183056,0.30257186081694404,0.41048593350383633,8.452128e-05,582
121,199,462,0,0.20754716981132076,1.0,0.34375000000000006,0.6989409984871406,0.3010590015128593,0.4092071611253197,8.434535e-05,583
121,198,463,0,0.2071917808219178,1.0,0.3432624113475178,0.7004538577912254,0.29954614220877457,0.4079283887468031,8.417268e-05,584
121,197,464,0,0.20683760683760682,1.0,0.34277620396600567,0.7019667170953101,0.2980332829046899,0.40664961636828645,8.401599e-05,585
121,196,465,0,0.20648464163822525,1.0,0.34229137199434223,0.7034795763993948,0.29652042360060515,0.4053708439897698,8.398242e-05,586
121,195,466,0,0.2061328790459966,1.0,0.34180790960451973,0.7049924357034796,0.2950075642965204,0.4040920716112532,8.396873e-05,587
121,194,467,0,0.20578231292517007,1.0,0.3413258110014104,0.7065052950075643,0.2934947049924357,0.40281329923273657,8.368024e-05,588
121,193,468,0,0.20543293718166383,1.0,0.3408450704225352,0.708018154311649,0.291981845688351,0.40153452685422,8.360918e-05,589
121,192,469,0,0.20508474576271185,1.0,0.340365682137834,0.7095310136157338,0.29046898638426627,0.40025575447570333,8.343467e-05,590
121,191,470,0,0.20473773265651438,1.0,0.3398876404494382,0.7110438729198184,0.28895612708018154,0.3989769820971867,8.341837e-05,591
121,190,471,0,0.20439189189189189,1.0,0.3394109396914446,0.7125567322239031,0.2874432677760968,0.3976982097186701,8.332058e-05,592
121,189,472,0,0.20404721753794267,1.0,0.3389355742296919,0.7140695915279879,0.2859304084720121,0.39641943734015345,8.321862e-05,593
121,188,473,0,0.2037037037037037,1.0,0.3384615384615384,0.7155824508320726,0.2844175491679274,0.39514066496163686,8.303868e-05,594
121,187,474,0,0.20336134453781513,1.0,0.33798882681564246,0.7170953101361573,0.28290468986384265,0.3938618925831202,8.2903694e-05,595
121,186,475,0,0.20302013422818793,1.0,0.3375174337517434,0.7186081694402421,0.2813918305597579,0.39258312020460356,8.2616585e-05,596
121,185,476,0,0.20268006700167504,1.0,0.3370473537604457,0.7201210287443268,0.27987897125567324,0.391304347826087,8.2575476e-05,597
121,184,477,0,0.20234113712374582,1.0,0.33657858136300417,0.7216338880484114,0.2783661119515885,0.3900255754475703,8.2251216e-05,598
121,183,478,0,0.2020033388981636,1.0,0.3361111111111111,0.7231467473524962,0.27685325264750377,0.3887468030690537,8.2221966e-05,599
121,182,479,0,0.20166666666666666,1.0,0.3356449375866852,0.7246596066565809,0.2753403933434191,0.3874680306905371,8.22026e-05,600
121,181,480,0,0.20133111480865223,1.0,0.335180055401662,0.7261724659606656,0.27382753403933435,0.38618925831202044,8.21979e-05,601
121,180,481,0,0.2009966777408638,1.0,0.33471645919778703,0.7276853252647504,0.2723146747352496,0.38491048593350385,8.2193896e-05,602
121,179,482,0,0.20066334991708126,1.0,0.3342541436464088,0.7291981845688351,0.2708018154311649,0.3836317135549872,8.203862e-05,603
121,178,483,0,0.20033112582781457,1.0,0.33379310344827584,0.7307110438729199,0.2692889561270802,0.38235294117647056,8.198732e-05,604
121,177,484,0,0.2,1.0,0.33333333333333337,0.7322239031770046,0.26777609682299547,0.38107416879795397,8.154452e-05,605
121,176,485,0,0.19966996699669967,1.0,0.3328748280605227,0.7337367624810892,0.26626323751891073,0.3797953964194373,8.077869e-05,606
121,175,486,0,0.19934102141680396,1.0,0.33241758241758246,0.735249621785174,0.264750378214826,0.37851662404092073,8.036326e-05,607
121,174,487,0,0.19901315789473684,1.0,0.3319615912208505,0.7367624810892587,0.2632375189107413,0.3772378516624041,8.0035556e-05,608
121,173,488,0,0.1986863711001642,1.0,0.33150684931506846,0.7382753403933434,0.2617246596066566,0.37595907928388744,7.9547215e-05,609
121,172,489,0,0.19836065573770492,1.0,0.33105335157318744,0.7397881996974282,0.26021180030257185,0.37468030690537085,7.951574e-05,610
121,171,490,0,0.19803600654664485,1.0,0.3306010928961749,0.7413010590015129,0.2586989409984871,0.3734015345268542,7.9166646e-05,611
121,170,491,0,0.1977124183006536,1.0,0.330150068212824,0.7428139183055976,0.25718608169440244,0.3721227621483376,7.868204e-05,612
121,169,492,0,0.19738988580750408,1.0,0.329700272479564,0.7443267776096822,0.2556732223903177,0.37084398976982097,7.839475e-05,613
121,168,493,0,0.1970684039087948,1.0,0.3292517006802721,0.745839636913767,0.25416036308623297,0.3695652173913043,7.8386074e-05,614
121,167,494,0,0.1967479674796748,1.0,0.328804347826087,0.7473524962178517,0.2526475037821483,0.36828644501278773,7.836933e-05,615
121,166,495,0,0.19642857142857142,1.0,0.3283582089552239,0.7488653555219364,0.25113464447806355,0.3670076726342711,7.836216e-05,616
121,165,496,0,0.19611021069692058,1.0,0.32791327913279134,0.7503782148260212,0.24962178517397882,0.3657289002557545,7.825701e-05,617
